Negara,Persentase Kematian NCD,Tahun
"{'id': '1A', 'value': 'Arab World'}",22.0938235200213,2012
"{'id': 'V2', 'value': 'Early-demographic dividend'}",22.0328296913163,2016
"{'id': 'V2', 'value': 'Early-demographic dividend'}",22.0204596641822,2015
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",21.9835603197767,2021
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",21.9679676384063,2019
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",21.9502793265639,2021
"{'id': 'V2', 'value': 'Early-demographic dividend'}",21.9358107896556,2017
"{'id': 'V2', 'value': 'Early-demographic dividend'}",21.926273221937,2013
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",21.9012013825088,2018
"{'id': 'V2', 'value': 'Early-demographic dividend'}",21.8636001060881,2020
"{'id': 'XG', 'value': 'IDA total'}",21.7986445870339,2021
"{'id': 'V2', 'value': 'Early-demographic dividend'}",21.7794880371978,2021
"{'id': 'V2', 'value': 'Early-demographic dividend'}",21.7747668928522,2014
"{'id': 'ZI', 'value': 'Africa Western and Central'}",21.7693643255358,2010
"{'id': 'S3', 'value': 'Caribbean small states'}",21.7501493644252,2014
"{'id': 'S3', 'value': 'Caribbean small states'}",21.7479702240566,2011
"{'id': 'ZI', 'value': 'Africa Western and Central'}",21.7223372539927,2011
"{'id': 'ZI', 'value': 'Africa Western and Central'}",21.6472804956261,2012
"{'id': 'XQ', 'value': 'Middle East & North Africa (excluding high income)'}",21.6432345221682,2010
"{'id': 'S3', 'value': 'Caribbean small states'}",21.6337496837021,2013
"{'id': 'T3', 'value': 'Middle East & North Africa (IDA & IBRD countries)'}",21.6323694925824,2010
"{'id': '1A', 'value': 'Arab World'}",21.6262996727592,2015
"{'id': 'ZT', 'value': 'IDA & IBRD total'}",21.6240432431071,2010
"{'id': 'S3', 'value': 'Caribbean small states'}",21.6073351762605,2015
"{'id': 'XI', 'value': 'IDA only'}",21.5346566069252,2021
"{'id': 'ZI', 'value': 'Africa Western and Central'}",21.5145229826634,2013
"{'id': '1A', 'value': 'Arab World'}",21.5105749049956,2013
"{'id': 'S3', 'value': 'Caribbean small states'}",21.5039461973799,2012
"{'id': 'B8', 'value': 'Central Europe and the Baltics'}",21.4833003491894,2010
